N,EMG_0,EMG_1,EMG_2,EMG_3,EMG_4,EMG_5,EMG_6,EMG_7,Acc_X,Acc_Y,Acc_Z,Gyro_X,Gyro_Y,Gyro_Z,VBAT
101,184566.0,113983.0,-60306.0,205540.0,311722.0,595609.0,209799.0,294656.0,-185.0,123.0,16675.0,-632.0,793.0,-644.0,3649.0
102,184391.0,114099.0,-60434.0,205366.0,311506.0,595429.0,209853.0,294768.0,-185.0,123.0,16675.0,-632.0,793.0,-644.0,3649.0
103,184251.0,114808.0,-59897.0,205793.0,311734.0,595659.0,209809.0,294307.0,-185.0,123.0,16675.0,-632.0,793.0,-644.0,3649.0
104,183691.0,114974.0,-59457.0,206340.0,312149.0,596163.0,209661.0,293372.0,-185.0,123.0,16675.0,-632.0,793.0,-644.0,3649.0
105,183894.0,114777.0,-59515.0,206326.0,312222.0,596178.0,209466.0,293628.0,-185.0,123.0,16675.0,-632.0,793.0,-644.0,3649.0
106,184203.0,114955.0,-59481.0,206291.0,312191.0,596040.0,209426.0,294442.0,-185.0,123.0,16675.0,-632.0,793.0,-644.0,3649.0
107,184340.0,114766.0,-59693.0,206138.0,312066.0,596012.0,209389.0,294228.0,-185.0,123.0,16675.0,-632.0,793.0,-644.0,3649.0
108,184394.0,114255.0,-60073.0,205944.0,311989.0,596062.0,209534.0,293948.0,-185.0,123.0,16675.0,-632.0,793.0,-644.0,3649.0
109,184738.0,114231.0,-60293.0,205682.0,311679.0,595709.0,209431.0,294563.0,-185.0,123.0,16675.0,-632.0,793.0,-644.0,3649.0
110,184852.0,114392.0,-60262.0,205642.0,311591.0,595612.0,209136.0,294459.0,-185.0,123.0,16675.0,-632.0,793.0,-644.0,3649.0
111,184755.0,114181.0,-60519.0,205382.0,311397.0,595458.0,208923.0,294023.0,-157.0,250.0,16608.0,-420.0,675.0,-608.0,3649.0
112,184691.0,114391.0,-60306.0,205581.0,311567.0,595625.0,209003.0,293418.0,-157.0,250.0,16608.0,-420.0,675.0,-608.0,3649.0
113,184467.0,114711.0,-59892.0,206013.0,311941.0,596009.0,209278.0,293484.0,-157.0,250.0,16608.0,-420.0,675.0,-608.0,3649.0
