Sample_num,Task_number,EMG1,EMG2,EMG3,EMG4,EMG5,EMG6,EMG7,EMG8,Timestamp,Video_timestamp,Angle_sample
204,0,152545,321553,527589,449786,479514,593515,13908,-360151,1636551622.4144592,1636551622.424291,4
205,0,152229,321148,527198,449441,479237,593252,14100,-360165,1636551622.4144657,1636551622.424291,4
206,0,152404,321300,527335,449546,479333,593379,14348,-359887,1636551622.4188223,1636551622.424291,4
207,0,152683,321591,527589,449743,479529,593814,13744,-359919,1636551622.4188254,1636551622.424291,4
208,0,152614,321516,527519,449624,479336,593466,14116,-360029,1636551622.4224775,1636551622.424291,4
209,0,152548,321423,527409,449571,479261,593142,14480,-359914,1636551622.4224825,1636551622.424291,4
210,0,152605,321471,527421,449708,479621,593798,14514,-359880,1636551622.4295187,1636551622.424291,4
211,0,152480,321371,527386,449756,479774,594171,14567,-359988,1636551622.4295208,1636551622.424291,4
212,0,152473,321373,527458,449861,479869,594373,14378,-360030,1636551622.4301968,1636551622.424291,4
213,0,152931,321891,527764,449993,479756,594233,13625,-360003,1636551622.430198,1636551622.424291,4
214,0,152538,321536,527456,449808,479539,593748,13908,-360129,1636551622.4382176,1636551622.493326,5
215,0,152613,321544,527534,449971,479723,593884,14434,-360002,1636551622,1636551622.493326,5
216,0,152916,321713,527540,449883,479448,593418,14625,-359779,1636551622.4422245,1636551622.493326,5
217,0,152934,321798,527623,449990,479548,593668,14217,-359913,1636551622.4422264,1636551622.493326,5
218,0,152909,321781,527638,450069,479688,593813,14224,-359904,1636551622.4482045,1636551622.493326,5
219,0,152630,321467,527357,449835,479472,593629,13923,-360136,1636551622,1636551622.493326,5
220,0,152524,321339,527243,449741,479366,593542,13925,-360230,1636551622.451395,1636551622.493326,5
221,0,153294,322129,528056,450614,480246,594581,14600,-359545,1636551622.4513972,1636551622.493326,5
222,0,153334,322208,528185,450761,480357,594576,14498,-359621,1636551622.454316,1636551622.493326,5
223,0,152474,321259,527308,449963,479739,594140,13291,-360552,1636551622.4543192,1636551622.493326,5
224,0,151894,320515,526488,449044,478752,592874,13966,-360755,1636551622.4586673,1636551622.493326,5
225,0,152421,321191,527139,449543,479033,592824,14039,-360238,1636551622.4586694,1636551622.493326,5
226,0,152608,321404,527418,449889,479496,593557,13952,-360251,1636551622.4627347,1636551622.493326,5
227,0,152916,321651,527652,450119,479708,593774,14249,-360037,1636551622.4627385,1636551622.493326,5
228,0,153071,321930,527846,450173,479711,593984,14483,-359902,1636551622.4666383,1636551622.493326,5
229,0,152848,321728,527593,449851,479391,593689,14104,-360184,1636551622.4666407,1636551622.493326,5
230,0,152513,321330,527253,449626,479278,593546,13939,-360261,1636551622.4703317,1636551622.493326,5
231,0,152599,321369,527293,449754,479482,593782,14185,-359911,1636551622.4703336,1636551622.493326,5
232,0,152804,321583,527485,449933,479621,593883,14177,-359827,1636551622.474687,1636551622.493326,5
233,0,152798,321676,527566,449951,479568,593675,13557,-360588,1636551622.474689,1636551622.493326,5
234,0,152798,321659,527509,449810,479433,593485,13596,-360615,1636551622.4790437,1636551622.493326,5
235,0,152771,321554,527390,449753,479400,593458,14112,-360106,1636551622.4790473,1636551622.493326,5
236,0,152975,321763,527641,450112,479848,594214,14609,-359821,1636551622.4824617,1636551622.493326,5
237,0,152882,321684,527560,450067,479790,594118,14313,-360012,1636551622.4826064,1636551622.493326,5
238,0,152839,321698,527558,450060,479721,593995,14228,-360040,1636551622.486359,1636551622.493326,5
239,0,152926,321743,527458,449973,479674,594069,14253,-360030,1636551622.4863625,1636551622.493326,5
240,0,152973,321833,527646,450188,479900,594165,14336,-359994,1636551622.490318,1636551622.493326,5
241,0,152987,321948,527743,450252,479938,594126,14146,-360159,1636551622.4903207,1636551622.493326,5
242,0,153037,321966,527764,450265,480054,594358,13653,-360161,1636551622.4942365,1636551622.493326,5
243,0,153281,322118,527866,450322,480098,594429,13220,-360141,1636551622,1636551622.493326,5
244,0,152938,321796,527554,450016,479701,593708,14148,-360323,1636551622.4987853,1636551622.493326,5
245,0,152601,321436,527231,449714,479466,593474,14376,-360296,1636551622.4987967,1636551622.493326,5
246,0,152865,321763,527555,449952,479645,594035,13775,-360059,1636551622.5026536,1636551622.493326,5
247,0,153110,322059,527870,450147,479691,593868,14105,-359863,1636551622.5026555,1636551622.493326,5
248,0,152938,321796,527554,450016,479701,593708,14148,-360323,1636551622.4987853,1636551622.546707,6
249,0,152601,321436,527231,449714,479466,593474,14376,-360296,1636551622.4987967,1636551622.546707,6
250,0,152865,321763,527555,449952,479645,594035,13775,-360059,1636551622.5026536,1636551622.546707,6
251,0,153110,322059,527870,450147,479691,593868,14105,-359863,1636551622.5026555,1636551622.546707,6
252,0,152902,321833,527784,450229,480009,594252,14943,-359826,1636551622.506218,1636551622.546707,6
253,0,152536,321453,527435,449919,479787,594069,14758,-360259,1636551622.5062191,1636551622.546707,6
254,0,152498,321433,527346,449726,479449,593764,14045,-360566,1636551622.5102715,1636551622.546707,6
255,0,152800,321856,527709,449928,479475,593733,13972,-360357,1636551622.5102756,1636551622.546707,6
256,0,153132,322199,528062,450276,479833,594019,13959,-360111,1636551622.5155203,1636551622.546707,6
257,0,152968,321962,527844,450143,479869,594083,13999,-360199,1636551622.5155225,1636551622.546707,6
258,0,152950,321925,527769,450061,479803,594056,14053,-360206,1636551622.5182476,1636551622.546707,6
259,0,153101,322007,527751,450018,479701,593943,14001,-360153,1636551622.5182498,1636551622.546707,6
260,0,152989,321954,527744,450091,479794,594128,14091,-360232,1636551622.5224946,1636551622.546707,6
261,0,152844,321863,527696,450101,479865,594225,14168,-360278,1636551622.5224972,1636551622.546707,6
262,0,152946,321996,527794,450184,479893,594186,14206,-360209,1636551622.5261605,1636551622.546707,6
263,0,153048,322103,527873,450292,479999,594303,14324,-360127,1636551622.5261629,1636551622.546707,6
264,0,153331,322437,528131,450498,480154,594464,14542,-359957,1636551622.5301394,1636551622.546707,6
265,0,153066,322268,528066,450561,480297,594736,14032,-360178,1636551622.530141,1636551622.546707,6
266,0,152504,321634,527573,450134,479868,594371,13925,-360536,1636551623,1636551622.546707,6
267,0,153089,322131,527704,449944,479287,593566,14188,-360239,1636551622.534472,1636551622.546707,6
268,0,153030,322102,527759,450106,479595,594144,13719,-360391,1636551622.5385878,1636551622.546707,6
269,0,152781,321793,527501,449889,479374,593662,13958,-360470,1636551622.5385897,1636551622.546707,6
270,0,152866,321882,527581,449983,479461,593820,14014,-360357,1636551622.5421853,1636551622.546707,6
271,0,152944,321951,527689,450139,479646,594106,14029,-360318,1636551622.5421872,1636551622.546707,6
272,0,152956,321968,527725,450181,479695,594133,14068,-360312,1636551623,1636551622.546707,6
273,0,152851,321876,527635,450128,479705,594208,13928,-360396,1636551622.546416,1636551622.546707,6
274,0,152674,321681,527479,450075,479832,594698,13683,-360562,1636551622.5501893,1636551622.546707,6
275,0,153061,322062,527775,450298,479856,594288,14276,-360197,1636551622.5501914,1636551622.546707,6
276,0,153876,322939,528588,451103,480617,595108,14793,-359557,1636551622.5543878,1636551622.546707,6
277,0,153534,322592,528237,450800,480279,594575,14444,-360029,1636551623,1636551622.546707,6
278,0,152681,321733,527352,449906,479405,593816,13579,-360821,1636551622.5581892,1636551622.546707,6
279,0,152285,321200,526830,449393,478921,593497,13651,-360829,1636551622.5581903,1636551622.546707,6
280,0,153248,322239,527673,450068,479473,593911,14131,-360233,1636551622.5623584,1636551622.546707,6
281,0,153351,322346,527766,450183,479658,594080,14076,-360235,1636551622.5623608,1636551622.546707,6
282,0,153291,322269,527726,450214,479773,594866,14179,-360329,1636551622.5703769,1636551622.640474,7
283,0,153463,322487,527960,450418,479850,594029,14537,-360057,1636551622.5703788,1636551622.640474,7
284,0,153215,322263,527928,450547,480175,594328,14490,-360251,1636551622.5760896,1636551622.640474,7
285,0,153016,322037,527589,450129,479725,594259,14146,-360546,1636551622.5760915,1636551622.640474,7
286,0,152951,321964,527376,449811,479296,593846,13947,-360427,1636551622.5875733,1636551622.640474,7
